trials.thisRepN	tilt	key_resp.keys	key_resp.corr	Hit	Miss	Fa	Cr
0	1	a	0	29	0	18	0
1	0	a	1			13	0
2	-4	a	0		sum	31	
3	-3	a	0				
4	-2	a	0				
5	0	z	0				
6	0	a	1				
7	0	z	1				
8	2	a	0				
9	0	a	1				
10	-1	a	0				
11	3	a	0				
12	-4	a	0				
13	0	a	1				
14	-1	a	0				
15	0	a	1				
16	0	a	1				
17	0	a	1				
18	-4	z	1				
19	-2	z	1				
20	0	a	1				
21	0	a	1				
22	0	a	1				
23	-5	a	0				
24	-1	a	0				
25	4	a	0				
26	1	a	0				
27	0	z	0				
28	0	z	0				
29	0	z	0				
30	-1	z	1				
31	4	a	0				
32	0	z	0				
33	3	a	0				
34	-3	z	1				
35	-3	z	1				
36	0	z	1				
37	0	z	0				
38	-4	a	0				
39	0	a	1				
40	-5	a	0				
41	0	z	0				
42	-5	a	0				
43	-5	a	0				
44	-3	z	1				
45	3	a	0				
46	4	a	0				
47	0	a	1				
48	1	a	0				
49	0	a	1				
50	0	a	0				
51	-4	z	1				
52	0	z	0				
53	-3	z	1				
54	0	z	0				
55	0	z	0				
56	0	a	1				
57	1	a	0				
58	-4	a	0				
59	0	z	0				
60	-5	a	0				
61	0	a	1				
62	3	a	0				
63	0	z	1				
64	0	z	0				
65	0	z	0				
66	2	z	1				
67	-5	z	1				
68	3	z	1				
69	-2	z	1				
70	-4	a	0				
71	0	a	1				
72	0	a	1				
73	0	a	1				
74	0	a	1				
75	-5	z	1				
76	0	a	1				
77	0	z	0				
78	0	a	1				
79	1	z	1				
80	4	a	0				
81	0	a	1				
82	0	a	1				
83	0	a	0				
84	0	z	0				
85	0	z	0				
86	2	z	1				
87	3	z	1				
88	2	z	1				
89	4	z	1				
90	0	a	1				
91	0	a	1				
92	-5	a	0				
93	-2	z	1				
94	-1	z	1				
95	2	a	0				
96	0	a	1				
97	0	a	0				
98	-1	a	0				
99	-3	a	0				
